Input,Output,timeTaken
0,0,277062
1,1,40280
2,1,36231
3,2,26546
4,3,80770
5,5,45592
6,8,126158
7,13,27879
8,21,26493
9,34,33829
10,55,30283
11,89,28236
12,144,27112
13,233,24831
14,377,25693
15,610,28648
16,987,29006
17,1597,33563
18,2584,37764
19,4181,59694
20,6765,72125
21,10946,95503
22,17711,123435
23,28657,179338
24,46368,271824
25,75025,423641
26,121393,672633
27,196418,1078490
28,317811,2118350
29,514229,2766012
30,832040,4395894
31,1346269,7237224
32,2178309,11393164
33,3524578,18545928
34,5702887,29702119
35,9227465,47910647
36,14930352,77046489
37,24157817,133638795
38,39088169,208392045
39,63245986,333865079
